IDHM Renda 2010,Perc Saneamento Adequado,Perc Economicamente Ativa com Rendimento,Gini,"Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",IDHM Educação 2010,IDHM 2010,Municipio,Selected
60.7,51.33,50.16,53.56,82.72,49.0,59.3,Ubatã,No
59.6,21.86,54.45,51.78,81.34,43.4,56.0,Una,No
57.2,45.23,61.79,49.83,85.28,53.2,63.7,Valente,No
58.8,20.13,52.52,57.87,83.81,57.2,64.5,Vera Cruz,No
54.9,23.72,58.14,45.2,80.57,45.9,54.4,Wenceslau Guimarães,No
60.1,32.35,50.67,56.78,80.43,54.8,58.5,Xique-Xique,No
59.4,28.17,52.94,56.67,80.48,59.4,53.4,Araci,No
67.9,30.02,53.79,60.48,81.04,54.1,63.3,Bom Jesus da Lapa,No
64.5,60.53,55.09,52.26,85.78,55.9,65.6,Brumado,No
64.8,9.16,55.49,57.13,81.85,56.2,58.6,Campo Formoso,No
66.0,66.58,56.38,51.2,84.61,57.8,69.1,Candeias,No
66.7,34.96,53.06,54.83,80.73,56.2,57.0,Casa Nova,No
63.0,65.49,49.09,57.96,85.41,55.4,67.7,Catu,No
62.9,29.12,61.87,49.46,83.12,57.3,61.1,Conceição do Coité,No
63.8,16.57,54.12,57.34,85.74,59.9,69.9,Cruz das Almas,No
66.3,55.01,55.73,53.37,81.83,58.4,67.6,Dias d'Ávila,No
64.4,7.61,54.12,55.59,83.14,55.1,56.7,Euclides da Cunha,No
67.3,51.35,59.85,55.81,85.32,57.2,67.3,Guanambi,No
63.3,46.77,51.33,52.94,83.16,55.1,54.9,Ipirá,No
67.8,28.68,56.1,59.95,83.14,57.2,69.1,Irecê,No
63.0,65.05,55.94,59.05,83.12,57.9,62.0,Itaberaba,No
65.6,51.71,54.05,55.8,82.61,56.8,62.7,Itamaraju,No
65.7,90.28,58.86,49.62,83.82,55.3,66.7,Itapetinga,No
65.1,51.91,58.28,55.37,84.01,58.4,64.9,Jacobina,No
62.6,28.88,54.18,51.43,82.12,55.9,58.0,Jaguaquara,No
64.1,16.17,66.33,63.37,80.24,58.7,71.6,Luís Eduardo Magalhães,No
63.7,8.93,49.35,55.17,82.09,53.2,50.6,Monte Santo,No
60.9,53.47,51.13,56.9,85.2,60.0,64.6,Santo Amaro,No
68.1,62.64,61.7,54.98,85.32,58.1,70.0,Santo Antônio de Jesus,No
68.7,53.42,51.99,58.33,83.7,55.1,66.6,Senhor do Bonfim,No
64.1,46.15,57.54,56.12,83.57,59.1,63.4,Serrinha,No
63.2,40.74,53.3,66.14,82.99,52.0,57.9,Tucano,No
68.7,59.15,59.49,55.39,83.22,57.2,62.3,Valença,No
65.2,53.48,55.3,57.38,85.38,61.6,68.3,Alagoinhas,No
69.5,33.63,59.39,57.04,82.72,66.8,72.1,Barreiras,No
71.0,62.37,61.8,54.58,83.55,61.9,69.4,Camaçari,No
65.7,34.76,59.27,58.77,82.54,59.4,67.7,Eunápolis,No
67.0,58.02,56.57,58.75,84.17,66.7,69.0,Ilhéus,No
75.4,78.14,56.3,57.45,85.52,59.0,71.2,Itabuna,No
66.1,75.63,54.91,56.59,84.58,64.3,66.5,Jequié,No
68.1,62.17,55.25,57.23,81.91,61.6,67.7,Juazeiro,No
78.1,78.62,63.39,65.19,84.88,66.3,75.4,Lauro de Freitas,No
68.1,79.32,51.86,58.85,83.89,59.2,67.4,Paulo Afonso,No
68.8,51.35,63.11,56.93,80.33,59.0,67.6,Porto Seguro,No
68.3,57.96,57.58,52.58,82.73,58.8,67.5,Simões Filho,No
67.7,63.06,60.22,54.08,82.87,62.2,68.5,Teixeira de Freitas,No
65.9,56.8,59.3,55.88,83.95,65.0,67.8,Vitória da Conquista,No
69.5,53.02,62.0,60.79,84.69,64.3,71.2,Feira de Santana,No
77.2,89.87,61.83,64.49,87.12,67.9,75.9,Salvador,No
